#,Type,Creator,Followers,Date Posted,Views,Likes,Comments,Shares,Saves,Category,Monetization,Product/Brand,Hook,Caption,Hashtags,TikTok URL,Thumbnail URL
1,Video,@amanda.saves,155,2026-02-05,715764,10065,184,169,421,Business & Finance,,,,YieldClub helping my money do more #yield #earningsinmotion #tryyieldclub #yieldclub ,"yield, earningsinmotion, tryyieldclub, yieldclub",https://www.tiktok.com/@amanda.saves/video/7603219066978979085,https://cdn.vireel.io/viral-content/slideshows/amanda-saves-https---www-tiktok-com--amanda-saves-video-7603219066978979085-7603219066978979085/slide-1.jpg
2,Video,@amanda.saves,155,2026-02-04,535955,8411,141,116,253,Business & Finance,,,,this is me trusting YieldClub with 12% #12%APY #highyieldsavingsaccount #tryyieldclub #yieldclub,"12, highyieldsavingsaccount, tryyieldclub, yieldclub",https://www.tiktok.com/@amanda.saves/video/7602802457864850702,https://cdn.vireel.io/viral-content/slideshows/amanda-saves-https---www-tiktok-com--amanda-saves-video-7602802457864850702-7602802457864850702/slide-1.jpg
3,Video,@serenityluvs.yields,3396,2026-01-21,2199197,284746,511,4165,24584,Business & Finance,,,,At least my crypto is hella up right now #crypto #finance #investing #yieldclub ,"crypto, finance, investing, yieldclub",https://www.tiktok.com/@serenityluvs.yields/video/7597671164659387703,https://cdn.vireel.io/viral-content/slideshows/serenityluvs-yields-https---www-tiktok-com--serenityluvs-yields-video-7597671164659387703-7597671164659387703/slide-1.jpg
4,Slideshow,@thehomeoffilm,129500,2026-01-20,1100000,9637,61,170,939,"Arts, Hobbies & Entertainment",,N/A,Celebrity Couples Who Broke Up Because One Of Them Was Cheating,Celebrity Couples Who Broke Up Because One Of Them Was Cheating  How does Will manage,#cinematok #filmtok #movies #tvshows,https://vt.tiktok.com/ZSa2g7JNf/,https://cdn.vireel.io/viral-content/slideshows/thehomeoffilm-01355101b68d85fa3e4d/slide-1.jpg
5,Slideshow,@thegutstuff,12300,2026-01-20,1100000,62500,287,1232,8186,Health & Wellness,App,The Gut Stuff  Ocado-The Gut Stuff Amazon-The Gut Stuff,if you used to do this:   and now you do this:   you're making gut fibre progress,"gut health on the agenda? then uppin' your fibre is a must.  these small swaps and focusing on what you can ADD can make a big difference: 🍎 keep the skins on your fruit & veg - a lot of the fibre and nutrients are in them 🍝 add more wholegrain - go full or half and half.. something is better than nothing 🧃 juice lover? try swapping that second OJ for a whole orange to get your fruity fibre fix 🥘 power up on plants - adding in more plant-based proteins ups your fibre without thinking!  every gut is different. this is general advice, and if you've got gut symptoms, have a chat with a healthcare professional before making any changes  comment below if you've been giving any of these swaps a try!",#guthealth #guthealthtips #highfibretips #healthyswaps #healthylifestyle,https://vt.tiktok.com/ZSajdkbaF/,https://cdn.vireel.io/viral-content/slideshows/thegutstuff-86f175595996cafa5d73/slide-1.jpg
6,Slideshow,@sherbabyyyyy,24000,2026-01-18,1400000,157200,426,8577,17741,Fashion & Beauty,Info Product,Social Haus Club,chic things id post if i was a lash tech  pt. 4,Lash tech content ideas / photo inspo  I am obsessed with all of these!! plus brow techs can also use some of these as inspo too :),#lashtech #lashtechnician #lashes #lashextensions #lashartist,https://vt.tiktok.com/ZSaj8fRHj/,https://cdn.vireel.io/viral-content/slideshows/sherbabyyyyy-b60fe59d46d9fd4a0b67/slide-1.jpg
7,Slideshow,@jwhorner_,956500,2026-01-18,7900000,1900000,17500,51700,115570,"Arts, Hobbies & Entertainment",Ecommerce,Flower Blocks,I'm Joe. You've doomscrolled your way to my art. Enjoy 😊🌷,I'm Joe. You've doomscrolled your way to my art.  Enjoy 😊🌷,,https://vt.tiktok.com/ZSaYuxhQs/,https://cdn.vireel.io/viral-content/slideshows/jwhorner_-fef6d2c708d4b222d41a/slide-1.jpg
8,Slideshow,@happyhormonerecipes,144900,2026-01-18,1300000,171000,292,3354,58303,Food & Cooking,Book,HappyHormoneRecipes E-book,POV: You want to snack healthy but don't know what to make,PART 4| Anti-inflammatory snack ideas,#healthyfood #healthysnacks #guthealthsnack #antiinflammatory #eatingclean,https://vt.tiktok.com/ZSajdCBS8/,https://cdn.vireel.io/viral-content/slideshows/happyhormonerecipes-29a73648d6728f950593/slide-1.jpg
9,Slideshow,@goldenhour.glowup,4097,2026-01-17,728500,12900,91,640,4747,Health & Wellness,Affiliate,JiYu Toning Polish Pads,what your SPOTS really mean (and how to FIX them),,#skincare #acne #tips #advice #usa,https://vt.tiktok.com/ZSaYudmcy/,https://cdn.vireel.io/viral-content/slideshows/goldenhour.glowup-a9c0519c6a7ccdb9a437/slide-1.jpg
10,Slideshow,@thefallenpo.et,196800,2026-01-17,419100,28500,219,3892,14966,Health & Wellness,Book,Between Heaven And Earth: Poems about Losing & Finding Yourself,Emotions That Only Exist in Japanese:,Emotions that only exist in Japanese,#poetry,https://vt.tiktok.com/ZSaeqxEfU/,https://cdn.vireel.io/viral-content/slideshows/thefallenpo.et-6a828669fad5f9d916fd/slide-1.jpg
11,Slideshow,@jwhorner_,956500,2026-01-16,1300000,266400,1601,4757,12362,"Arts, Hobbies & Entertainment",Ecommerce,Flower Blocks,I'm Joe! You've doomscrolled your way to my art. enjoy!,I'm Joe! You've doomscrolled your way to my art. enjoy!,,https://vt.tiktok.com/ZSaYuC6XU/,https://cdn.vireel.io/viral-content/slideshows/jwhorner_-06359795a987cf644307/slide-1.jpg
12,Slideshow,@noiratelier.com,0,2026-01-16,0,0,0,0,0,Fashion & Beauty,Ecommerce,Noir Atelier,Boy vs Men,Men Style >>,#oldmoney #starboyaesthetic #mensstyle #fashion #fyp,https://vt.tiktok.com/ZSadsatG6/,https://cdn.vireel.io/viral-content/slideshows/noiratelier.com-8a8d0dbcdabee382d121/slide-1.jpg
